replicate,analysis_branch,n_folds,accuracy_mean,accuracy_sd,f1_mean,f1_sd,mcc_mean,mcc_sd,auroc_mean,auroc_sd,auprc_mean,auprc_sd,precision_mean,precision_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd
R01,core_only,4,0.6666749999999999,0.047752582827179785,0.77645,0.03608217473120676,0.17004999999999998,0.08789571472299812,0.6874,0.057197960336594765,0.9207000000000001,0.030173166887153213,0.8778439153439154,0.022485605322961916,0.6965090090090089,0.045548467329750014,0.5178571428571428,0.06838765055402414
R01,sensplus,4,0.6329545454545454,0.05160976160682153,0.7448588709677418,0.03835116942802014,0.1488974051190332,0.11989748348586689,0.6786786786786786,0.04794939852195662,0.9167930184269734,0.015320422566000648,0.8636118830084347,0.033881707562425846,0.6554054054054054,0.045282158708709386,0.53125,0.11967838846954226
R02,core_only,4,0.672436575052854,0.0577609156080215,0.775339017124477,0.0451646681112181,0.2282806687659109,0.1849485769938616,0.6922223562848563,0.0654176334670366,0.9274966748767332,0.0156286804813949,0.9032794540229884,0.0512736453522252,0.6824324324324325,0.0677868757650878,0.6116071428571428,0.2501593879664625
R02,sensplus,4,0.6723484848484849,0.0652791209833866,0.7696517412935323,0.0556191314653134,0.2660809315086102,0.1214599448497088,0.6748076201201201,0.0507586407365273,0.9159093911604026,0.0213205614436284,0.9008064516129032,0.0414193725179266,0.6756756756756757,0.0837370394249255,0.65625,0.1572882174014739
R03,core_only,4,0.7414112050739957,0.0502297266418418,0.8276848591549295,0.039665620591223,0.3554344897877878,0.0882369736764814,0.7667075557700558,0.0828832310892286,0.9417419857396954,0.0304768965961297,0.9243697478991596,0.0303472670588521,0.7511261261261262,0.06209787384223,0.6919642857142857,0.1248936622521267
R03,sensplus,4,0.7171717171717171,0.0493556067820506,0.8043480028623471,0.0427909979732521,0.3525682942227544,0.0353132661024913,0.745213963963964,0.0576901293183288,0.9293327750472248,0.0245378508256169,0.920897065897066,0.0086482241221875,0.7165915915915916,0.0717337006007634,0.71875,0.0625
R04,core_only,4,0.6782505285412262,0.0845240544422595,0.7779220779220779,0.0800838500373181,0.2329048808703099,0.0805925145379024,0.7463434416559417,0.0581509532754273,0.942028957999558,0.0172691125051766,0.898892832995267,0.0361916985304073,0.6978228228228228,0.1335710564194163,0.5892857142857143,0.187853974262613
R04,sensplus,4,0.6558080808080808,0.0715302015779479,0.7535509364306554,0.0774468455149688,0.2353957975575806,0.1112630633007994,0.7399352477477478,0.0724351030533896,0.9352783898997354,0.0204594593444682,0.8994548984468339,0.0677862513975797,0.6632882882882882,0.1322635903073277,0.625,0.25
R05,core_only,4,0.7248942917547568,0.0804882274964012,0.814126559714795,0.0667780017588985,0.3183903244359153,0.106346673694989,0.7452240186615187,0.0471420704955666,0.941444667719021,0.0195625589410484,0.9142420977011494,0.0175464288530207,0.7381756756756757,0.1016509770457104,0.6517857142857143,0.0939269871313065
R05,sensplus,4,0.6950757575757576,0.0588036920312879,0.7920910155106818,0.0503419310443636,0.2570818715381631,0.0905575144963538,0.7156531531531531,0.0266669574612263,0.9293191000326868,0.0080078908139009,0.8901377688172043,0.0250450858892645,0.7173423423423424,0.0823559087675082,0.59375,0.1196783884695422
R06,core_only,4,0.6667547568710359,0.0279860790853001,0.7729667003413387,0.0242121032415621,0.2092502257475727,0.0933122898465544,0.7223160660660661,0.0828615001298685,0.9352336193856484,0.0227294581700292,0.8935091312510668,0.03456026055484,0.6824324324324325,0.0388412251725539,0.5892857142857143,0.1472537723434879
R06,sensplus,4,0.67260101010101,0.0439488263415801,0.7735290750915751,0.0313219968074818,0.2457500788820141,0.1072357304253597,0.697072072072072,0.0542961590280335,0.9202474606729736,0.0128387438186098,0.8918650793650793,0.0292280156005084,0.6829954954954955,0.0322291330991639,0.625,0.1020620726159657
R07,core_only,4,0.6836680761099365,0.0416743947945485,0.7822293356997971,0.0424148684112853,0.2725390356807465,0.0444222827999836,0.7438666344916345,0.0609028879807757,0.9384404819055578,0.0224998734604064,0.913005776152328,0.0346778026976428,0.6897522522522522,0.08231226803234,0.6607142857142857,0.158382555900596
R07,sensplus,4,0.6893939393939393,0.0262431940540739,0.7849949070537305,0.0280612664279415,0.2828050499566919,0.0921789192444926,0.7566629129129129,0.0439933160497392,0.93789959385985,0.0148969642007922,0.9057692307692308,0.0429662548709742,0.6968843843843844,0.0655131305432497,0.65625,0.1875
R08,core_only,4,0.6835359408033826,0.0706525725467679,0.7827437185646141,0.0728000649920753,0.2120284507247201,0.1203028415792231,0.7080551533676533,0.0752259317991088,0.9338430544189984,0.0249316233728533,0.8994753930793975,0.0671193272128987,0.7092717717717718,0.1402710693436702,0.5535714285714286,0.3106663893023783
R08,sensplus,4,0.6830808080808081,0.0868554723329284,0.7752349752349752,0.087746768003972,0.2669833412791429,0.0718360667769798,0.7011308183183182,0.0369976007023919,0.9282165226332396,0.0156146107403613,0.9012064696275224,0.0418556547528238,0.6953828828828829,0.1501331008838958,0.625,0.2282177322938192
R09,core_only,4,0.7242336152219873,0.0163897500923957,0.8177361275464112,0.0154155163552984,0.293944280180194,0.1456541826807579,0.7252989596739597,0.0677220572920151,0.9367864598380492,0.0202802968339456,0.9133064516129032,0.0593075577228769,0.7447447447447447,0.0529869079794436,0.625,0.2567126030100931
R09,sensplus,4,0.6948232323232323,0.0479458944542795,0.7867947439526506,0.0473563797066538,0.3094676965384891,0.0455539356897914,0.7244275525525525,0.0369486226525241,0.9310468411280438,0.0113080714980884,0.9126571009635526,0.0282596533818712,0.6963213213213213,0.0827064772699419,0.6875,0.125
R10,core_only,4,0.6372885835095138,0.1181273874902086,0.7459759538706907,0.1016837484330465,0.1647270253932241,0.1758467301700273,0.6632145538395539,0.1113515326266351,0.9135366806836032,0.0522174457421319,0.8747947454844006,0.0518282893336178,0.6546546546546547,0.1225648982638118,0.5535714285714286,0.1219875091185666
