run_id,replicate,analysis_branch,fold,positive_sample_seed,fold_split_seed,feature_set,model,solver,class_weight,penalty,max_iter,threshold,accuracy,f1,mcc,auroc,auprc,precision,sensitivity,specificity,tp,tn,fp,fn,support,pos_n,neg_n
PILOT-R01-R02-core_only-F1,R02,core_only,1,43,43,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6590909090909091,0.782608695652174,0.012683657235796024,0.6235521235521235,0.9082774103065934,0.84375,0.7297297297297297,0.2857142857142857,27,2,5,10,44,37,7
PILOT-R01-R02-core_only-F2,R02,core_only,2,43,43,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6818181818181818,0.7666666666666667,0.39805662169354006,0.7604166666666667,0.9464263592682087,0.9583333333333334,0.6388888888888888,0.875,23,7,1,13,44,36,8
PILOT-R01-R02-core_only-F3,R02,core_only,3,43,43,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6046511627906976,0.7213114754098361,0.1366001903107947,0.6507936507936508,0.9260584376999134,0.88,0.6111111111111112,0.5714285714285714,22,4,3,14,43,36,7
PILOT-R01-R02-core_only-F4,R02,core_only,4,43,43,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7441860465116279,0.8307692307692308,0.36578220582351284,0.7341269841269842,0.9292244922322175,0.9310344827586207,0.75,0.7142857142857143,27,5,2,9,43,36,7
PILOT-R01-R02-sensplus-F1,R02,sensplus,1,43,43,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6666666666666666,0.7761194029850746,0.1643989873053573,0.6402027027027027,0.9018902185612825,0.8666666666666667,0.7027027027027027,0.5,26,4,4,11,45,37,8
PILOT-R01-R02-sensplus-F2,R02,sensplus,2,43,43,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6818181818181818,0.7666666666666667,0.39805662169354006,0.75,0.9440890363546608,0.9583333333333334,0.6388888888888888,0.875,23,7,1,13,44,36,8
PILOT-R01-R02-sensplus-F3,R02,sensplus,3,43,43,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.5909090909090909,0.7,0.1613743060919757,0.6493055555555556,0.9205084083731737,0.875,0.5833333333333334,0.625,21,5,3,15,44,36,8
PILOT-R01-R02-sensplus-F4,R02,sensplus,4,43,43,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.75,0.835820895522388,0.3404938109435677,0.6597222222222222,0.8971499013524935,0.9032258064516129,0.7777777777777778,0.625,28,5,3,8,44,36,8
PILOT-R01-R03-core_only-F1,R03,core_only,1,44,44,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7954545454545454,0.8732394366197183,0.3572041737052757,0.8262548262548263,0.9613492480517298,0.9117647058823529,0.8378378378378378,0.5714285714285714,31,4,3,6,44,37,7
PILOT-R01-R03-core_only-F2,R03,core_only,2,44,44,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6818181818181818,0.78125,0.25612535683274,0.7048611111111112,0.9324316212214588,0.8928571428571429,0.6944444444444444,0.625,25,5,3,11,44,36,8
PILOT-R01-R03-core_only-F3,R03,core_only,3,44,44,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7209302325581395,0.8125,0.3381175937165205,0.6865079365079365,0.9029603463647119,0.9285714285714286,0.7222222222222222,0.7142857142857143,26,5,2,10,43,36,7
PILOT-R01-R03-core_only-F4,R03,core_only,4,44,44,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7674418604651163,0.84375,0.4702908348966149,0.8492063492063493,0.9702267273208809,0.9642857142857143,0.75,0.8571428571428571,27,6,1,9,43,36,7
PILOT-R01-R03-sensplus-F1,R03,sensplus,1,44,44,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7777777777777778,0.8571428571428571,0.3767873050126201,0.8141891891891893,0.9550394277788692,0.9090909090909091,0.8108108108108109,0.625,30,5,3,7,45,37,8
PILOT-R01-R03-sensplus-F2,R03,sensplus,2,44,44,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6590909090909091,0.7540983606557377,0.30281331944409007,0.7048611111111112,0.9349046696052399,0.92,0.6388888888888888,0.75,23,6,2,13,44,36,8
PILOT-R01-R03-sensplus-F3,R03,sensplus,3,44,44,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7272727272727273,0.8125,0.3786200927092679,0.6909722222222222,0.89601206190339,0.9285714285714286,0.7222222222222222,0.75,26,6,2,10,44,36,8
PILOT-R01-R03-sensplus-F4,R03,sensplus,4,44,44,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7045454545454546,0.7936507936507936,0.35205245972503973,0.7708333333333333,0.9313749409014005,0.9259259259259259,0.6944444444444444,0.75,25,6,2,11,44,36,8
PILOT-R01-R04-core_only-F1,R04,core_only,1,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.5681818181818182,0.6666666666666666,0.2722705899124511,0.8301158301158301,0.9646539491679398,0.95,0.5135135135135135,0.8571428571428571,19,6,1,18,44,37,7
PILOT-R01-R04-core_only-F2,R04,core_only,2,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7727272727272727,0.8571428571428571,0.3067859955389482,0.71875,0.9239633822504472,0.8823529411764706,0.8333333333333334,0.5,30,4,4,6,44,36,8
PILOT-R01-R04-core_only-F3,R04,core_only,3,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6744186046511628,0.7878787878787878,0.1212135087055675,0.738095238095238,0.9445459863234342,0.8666666666666667,0.7222222222222222,0.42857142857142855,26,3,4,10,43,36,7
PILOT-R01-R04-core_only-F4,R04,core_only,4,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6976744186046512,0.8,0.23134942932427308,0.6984126984126985,0.9349525142564102,0.896551724137931,0.7222222222222222,0.5714285714285714,26,4,3,10,43,36,7
PILOT-R01-R04-sensplus-F1,R04,sensplus,1,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.5777777777777777,0.6545454545454545,0.3796631983009996,0.8243243243243243,0.9602264871394988,1.0,0.4864864864864865,1.0,18,8,0,19,45,37,8
PILOT-R01-R04-sensplus-F2,R04,sensplus,2,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7272727272727273,0.8235294117647058,0.24056261216234406,0.71875,0.9261082529198681,0.875,0.7777777777777778,0.5,28,4,4,8,44,36,8
PILOT-R01-R04-sensplus-F3,R04,sensplus,3,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7045454545454546,0.8059701492537313,0.21134098610290408,0.7638888888888888,0.941963315336042,0.8709677419354839,0.75,0.5,27,4,4,9,44,36,8
PILOT-R01-R04-sensplus-F4,R04,sensplus,4,45,45,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6136363636363636,0.7301587301587301,0.11001639366407491,0.6527777777777778,0.9128155042035331,0.8518518518518519,0.6388888888888888,0.5,23,4,4,13,44,36,8
PILOT-R01-R05-core_only-F1,R05,core_only,1,46,46,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6818181818181818,0.7878787878787878,0.21152603960959654,0.7413127413127413,0.9473176761385413,0.896551724137931,0.7027027027027027,0.5714285714285714,26,4,3,11,44,37,7
PILOT-R01-R05-core_only-F2,R05,core_only,2,46,46,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.6363636363636364,0.7333333333333333,0.2797154638927579,0.6840277777777777,0.91337376302123,0.9166666666666666,0.6111111111111112,0.75,22,6,2,14,44,36,8
PILOT-R01-R05-core_only-F3,R05,core_only,3,46,46,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.7674418604651163,0.8529411764705882,0.31897158992671304,0.7976190476190476,0.9588380546308878,0.90625,0.8055555555555556,0.5714285714285714,29,4,3,7,43,36,7
PILOT-R01-R05-core_only-F4,R05,core_only,4,46,46,AAC,LogisticRegression,liblinear,balanced,l2,1000,0.5,0.813953488372093,0.8823529411764706,0.46334820431459367,0.7579365079365079,0.946249177085425,0.9375,0.8333333333333334,0.7142857142857143,30,5,2,6,43,36,7
