run_id,replicate,analysis_branch,fold,feature_set,model_key,score_type,class_weight,threshold_or_decision_rule,accuracy,f1,mcc,auroc,auprc,precision,sensitivity,specificity,precision,tp,tn,fp,fn,support,pos_n,neg_n
PILOT-R03-R01-core_only-logistic_regression_l2-F1,R01,core_only,1,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6666666666666666,0.7761194029850746,0.1643989873053573,0.6385135135135135,0.8789933463089885,0.8666666666666667,0.7027027027027027,0.5,0.8666666666666667,26,4,4,11,45,37,8
PILOT-R03-R01-core_only-logistic_regression_l2-F2,R01,core_only,2,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6046511627906976,0.7301587301587301,0.05152366852794264,0.7023809523809523,0.9366830029345619,0.8518518518518519,0.6388888888888888,0.42857142857142855,0.8518518518518519,23,3,4,13,43,36,7
PILOT-R03-R01-core_only-logistic_regression_l2-F3,R01,core_only,3,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6744186046511628,0.78125,0.20594435253642612,0.6468253968253967,0.9193485044411934,0.8928571428571429,0.6944444444444444,0.5714285714285714,0.8928571428571429,25,4,3,11,43,36,7
PILOT-R03-R01-core_only-logistic_regression_l2-F4,R01,core_only,4,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.7209302325581395,0.8181818181818182,0.25837616329344654,0.761904761904762,0.9478085545038281,0.9,0.75,0.5714285714285714,0.9,27,4,3,9,43,36,7
PILOT-R03-R02-core_only-logistic_regression_l2-F1,R02,core_only,1,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6590909090909091,0.782608695652174,0.012683657235796024,0.6216216216216216,0.9082774103065934,0.84375,0.7297297297297297,0.2857142857142857,0.84375,27,2,5,10,44,37,7
PILOT-R03-R02-core_only-logistic_regression_l2-F2,R02,core_only,2,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6818181818181818,0.7666666666666667,0.39805662169354006,0.7604166666666667,0.9464263592682087,0.9583333333333334,0.6388888888888888,0.875,0.9583333333333334,23,7,1,13,44,36,8
PILOT-R03-R02-core_only-logistic_regression_l2-F3,R02,core_only,3,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6046511627906976,0.7213114754098361,0.1366001903107947,0.6507936507936508,0.9260584376999134,0.88,0.6111111111111112,0.5714285714285714,0.88,22,4,3,14,43,36,7
PILOT-R03-R02-core_only-logistic_regression_l2-F4,R02,core_only,4,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.7441860465116279,0.8307692307692308,0.36578220582351284,0.7341269841269842,0.9292244922322175,0.9310344827586207,0.75,0.7142857142857143,0.9310344827586207,27,5,2,9,43,36,7
PILOT-R03-R03-core_only-logistic_regression_l2-F1,R03,core_only,1,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.7954545454545454,0.8732394366197183,0.3572041737052757,0.8262548262548263,0.9613492480517298,0.9117647058823529,0.8378378378378378,0.5714285714285714,0.9117647058823529,31,4,3,6,44,37,7
PILOT-R03-R03-core_only-logistic_regression_l2-F2,R03,core_only,2,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6818181818181818,0.78125,0.25612535683274,0.7048611111111112,0.9324316212214588,0.8928571428571429,0.6944444444444444,0.625,0.8928571428571429,25,5,3,11,44,36,8
PILOT-R03-R03-core_only-logistic_regression_l2-F3,R03,core_only,3,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.7209302325581395,0.8125,0.3381175937165205,0.6865079365079365,0.9029603463647119,0.9285714285714286,0.7222222222222222,0.7142857142857143,0.9285714285714286,26,5,2,10,43,36,7
PILOT-R03-R03-core_only-logistic_regression_l2-F4,R03,core_only,4,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.7674418604651163,0.84375,0.4702908348966149,0.8492063492063493,0.9702267273208809,0.9642857142857143,0.75,0.8571428571428571,0.9642857142857143,27,6,1,9,43,36,7
PILOT-R03-R04-core_only-logistic_regression_l2-F1,R04,core_only,1,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.5681818181818182,0.6666666666666666,0.2722705899124511,0.8301158301158301,0.9646539491679398,0.95,0.5135135135135135,0.8571428571428571,0.95,19,6,1,18,44,37,7
PILOT-R03-R04-core_only-logistic_regression_l2-F2,R04,core_only,2,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.7727272727272727,0.8571428571428571,0.3067859955389482,0.71875,0.9239633822504472,0.8823529411764706,0.8333333333333334,0.5,0.8823529411764706,30,4,4,6,44,36,8
PILOT-R03-R04-core_only-logistic_regression_l2-F3,R04,core_only,3,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6744186046511628,0.7878787878787878,0.1212135087055675,0.738095238095238,0.9445459863234342,0.8666666666666667,0.7222222222222222,0.42857142857142855,0.8666666666666667,26,3,4,10,43,36,7
PILOT-R03-R04-core_only-logistic_regression_l2-F4,R04,core_only,4,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6976744186046512,0.8,0.23134942932427308,0.6984126984126985,0.9349525142564102,0.896551724137931,0.7222222222222222,0.5714285714285714,0.896551724137931,26,4,3,10,43,36,7
PILOT-R03-R05-core_only-logistic_regression_l2-F1,R05,core_only,1,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6818181818181818,0.7878787878787878,0.21152603960959654,0.7413127413127413,0.9473176761385413,0.896551724137931,0.7027027027027027,0.5714285714285714,0.896551724137931,26,4,3,11,44,37,7
PILOT-R03-R05-core_only-logistic_regression_l2-F2,R05,core_only,2,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6363636363636364,0.7333333333333333,0.2797154638927579,0.6840277777777777,0.91337376302123,0.9166666666666666,0.6111111111111112,0.75,0.9166666666666666,22,6,2,14,44,36,8
PILOT-R03-R05-core_only-logistic_regression_l2-F3,R05,core_only,3,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.7674418604651163,0.8529411764705882,0.31897158992671304,0.7976190476190476,0.9588380546308878,0.90625,0.8055555555555556,0.5714285714285714,0.90625,29,4,3,7,43,36,7
PILOT-R03-R05-core_only-logistic_regression_l2-F4,R05,core_only,4,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.813953488372093,0.8823529411764706,0.46334820431459367,0.7579365079365079,0.946249177085425,0.9375,0.8333333333333334,0.7142857142857143,0.9375,30,5,2,6,43,36,7
PILOT-R03-R06-core_only-logistic_regression_l2-F1,R06,core_only,1,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6818181818181818,0.7941176470588235,0.12690579427752563,0.6293436293436294,0.9135957096679426,0.8709677419354839,0.7297297297297297,0.42857142857142855,0.8709677419354839,27,3,4,10,44,37,7
PILOT-R03-R06-core_only-logistic_regression_l2-F2,R06,core_only,2,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6363636363636364,0.75,0.1336306209562122,0.6805555555555556,0.9192552678510528,0.8571428571428571,0.6666666666666666,0.5,0.8571428571428571,24,4,4,12,44,36,8
PILOT-R03-R06-core_only-logistic_regression_l2-F3,R06,core_only,3,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6511627906976745,0.7540983606557377,0.2642916725578419,0.7658730158730158,0.9463318085044344,0.92,0.6388888888888888,0.7142857142857143,0.92,23,5,2,13,43,36,7
PILOT-R03-R06-core_only-logistic_regression_l2-F4,R06,core_only,4,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6976744186046512,0.7936507936507936,0.3121728151987113,0.8134920634920636,0.9617516915191632,0.9259259259259259,0.6944444444444444,0.7142857142857143,0.9259259259259259,25,5,2,11,43,36,7
PILOT-R03-R07-core_only-logistic_regression_l2-F1,R07,core_only,1,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6818181818181818,0.78125,0.2929308750767038,0.7760617760617761,0.9510767821975399,0.9259259259259259,0.6756756756756757,0.7142857142857143,0.9259259259259259,25,5,2,12,44,37,7
PILOT-R03-R07-core_only-logistic_regression_l2-F2,R07,core_only,2,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.7272727272727273,0.8235294117647058,0.24056261216234406,0.6875,0.9191175962042664,0.875,0.7777777777777778,0.5,0.875,28,4,4,8,44,36,8
PILOT-R03-R07-core_only-logistic_regression_l2-F3,R07,core_only,3,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6976744186046512,0.8,0.23134942932427308,0.6984126984126984,0.9198369330596546,0.896551724137931,0.7222222222222222,0.5714285714285714,0.896551724137931,26,4,3,10,43,36,7
PILOT-R03-R07-core_only-logistic_regression_l2-F4,R07,core_only,4,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.627906976744186,0.7241379310344828,0.3253132261596651,0.8134920634920635,0.9637306161607704,0.9545454545454546,0.5833333333333334,0.8571428571428571,0.9545454545454546,21,6,1,15,43,36,7
PILOT-R03-R08-core_only-logistic_regression_l2-F1,R08,core_only,1,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.7727272727272727,0.8648648648648649,0.15057915057915058,0.6293436293436294,0.9089071127065507,0.8648648648648649,0.8648648648648649,0.2857142857142857,0.8648648648648649,32,2,5,5,44,37,7
PILOT-R03-R08-core_only-logistic_regression_l2-F2,R08,core_only,2,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6590909090909091,0.7692307692307693,0.15821481751152242,0.6631944444444444,0.916791658659167,0.8620689655172413,0.6944444444444444,0.5,0.8620689655172413,25,4,4,11,44,36,8
PILOT-R03-R08-core_only-logistic_regression_l2-F3,R08,core_only,3,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6976744186046512,0.8059701492537313,0.14697408781305385,0.746031746031746,0.948889539301964,0.8709677419354839,0.75,0.42857142857142855,0.8709677419354839,27,3,4,9,43,36,7
PILOT-R03-R08-core_only-logistic_regression_l2-F4,R08,core_only,4,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.6046511627906976,0.6909090909090909,0.39234574699515373,0.7936507936507935,0.9607839070083121,1.0,0.5277777777777778,1.0,1.0,19,7,0,17,43,36,7
PILOT-R03-R09-core_only-logistic_regression_l2-F1,R09,core_only,1,AAC,logistic_regression_l2,probability,balanced,0.5 for probability models; 0 for LinearSVC decision function,0.7045454545454546,0.8115942028985508,0.1522038868295523,0.6640926640926641,0.9288969650962773,0.875,0.7567567567567568,0.42857142857142855,0.875,28,3,4,9,44,37,7
