feature_set,model_key,analysis_branch,baseline_feature_set,accuracy_feature,accuracy_aac_reference,accuracy_delta_vs_aac,f1_feature,f1_aac_reference,f1_delta_vs_aac,mcc_feature,mcc_aac_reference,mcc_delta_vs_aac,auroc_feature,auroc_aac_reference,auroc_delta_vs_aac,auprc_feature,auprc_aac_reference,auprc_delta_vs_aac,precision_feature,precision_aac_reference,precision_delta_vs_aac,sensitivity_feature,sensitivity_aac_reference,sensitivity_delta_vs_aac,specificity_feature,specificity_aac_reference,specificity_delta_vs_aac
aac_plus_physchem,linear_svm,core_only,AAC_reference,0.7045480972515856,0.6982740192623913,0.006274077989194327,0.8008764067586219,0.7945390163102019,0.006337390448420077,0.26762068469799033,0.2793657397095362,-0.01174505501154588,0.7270598723723724,0.7219675032175032,0.005092369154869103,0.9306993239221327,0.9325315465845225,-0.0018322226623898041,0.9059752450063977,0.9129595619052266,-0.006984316898828946,0.7240615615615615,0.7089527027027027,0.01510885885885882,0.6098214285714285,0.6459821428571428,-0.036160714285714324
aac_plus_terminal,linear_svm,core_only,AAC_reference,0.6797871153394409,0.6982740192623913,-0.018486903922950382,0.7929267546062363,0.7945390163102019,-0.0016122617039655562,0.08218349386273638,0.2793657397095362,-0.19718224584679983,0.6182227986915487,0.7219675032175032,-0.10374470452595452,0.8939740248161823,0.9325315465845225,-0.038557521768340264,0.8535628737972868,0.9129595619052266,-0.059396688107939855,0.7454767267267267,0.7089527027027027,0.03652402402402399,0.35401785714285716,0.6459821428571428,-0.2919642857142857
physchem_plus_terminal,linear_svm,core_only,AAC_reference,0.6670786351891003,0.6982740192623913,-0.031195384073291033,0.781462418620294,0.7945390163102019,-0.013076597689907876,0.08978625773854973,0.2793657397095362,-0.18957948197098648,0.5893674924924925,0.7219675032175032,-0.1326000107250107,0.8789882541832739,0.9325315465845225,-0.053543292401248666,0.8557103218226066,0.9129595619052266,-0.05724924008262,0.7233671171171171,0.7089527027027027,0.014414414414414378,0.3866071428571428,0.6459821428571428,-0.259375
physchem_small,linear_svm,core_only,AAC_reference,0.6664954780361757,0.6982740192623913,-0.031778541226215595,0.7714653066058424,0.7945390163102019,-0.023073709704359402,0.2036349157146892,0.2793657397095362,-0.07573082399484701,0.6806195704633204,0.7219675032175032,-0.0413479327541828,0.9118524788861997,0.9325315465845225,-0.02067906769832284,0.8909590633373916,0.9129595619052266,-0.022000498567835036,0.6853415915915916,0.7089527027027027,-0.023611111111111138,0.5732142857142857,0.6459821428571428,-0.07276785714285716
terminal_grouped,linear_svm,core_only,AAC_reference,0.608566772374912,0.6982740192623913,-0.08970724688747933,0.7314863669665859,0.7945390163102019,-0.06305264934361599,0.049562001784856154,0.2793657397095362,-0.22980373792468006,0.5061368846525096,0.7219675032175032,-0.21583061856499364,0.8447676282884802,0.9325315465845225,-0.08776391829604235,0.84826171920474,0.9129595619052266,-0.06469784270048662,0.6468468468468469,0.7089527027027027,-0.06210585585585582,0.4178571428571428,0.6459821428571428,-0.22812500000000002
aac_plus_physchem,linear_svm,sensplus,AAC_reference,0.6892171717171717,0.6864141414141414,0.002803030303030307,0.785505143836532,0.7820617369396412,0.0034434068968908216,0.2658947590656341,0.2737374496815026,-0.007842690615868508,0.7169388138138137,0.7213705893393393,-0.004431775525525539,0.9222654993149172,0.9274522288911102,-0.005186729576193039,0.8954357109962051,0.9009429368551103,-0.005507225858905174,0.7047860360360361,0.696509009009009,0.00827702702702704,0.61875,0.640625,-0.021874999999999978
aac_plus_terminal,linear_svm,sensplus,AAC_reference,0.6722222222222222,0.6864141414141414,-0.0141919191919192,0.7827057165354954,0.7820617369396412,0.0006439795958541605,0.11258843680922882,0.2737374496815026,-0.1611490128722738,0.6264428490990991,0.7213705893393393,-0.0949277402402402,0.8922142216433282,0.9274522288911102,-0.03523800724778203,0.849674233317986,0.9009429368551103,-0.051268703537124316,0.7316066066066066,0.696509009009009,0.03509759759759756,0.403125,0.640625,-0.2375
physchem_plus_terminal,linear_svm,sensplus,AAC_reference,0.6399747474747475,0.6864141414141414,-0.04643939393939389,0.7562916813727479,0.7820617369396412,-0.02577005556689327,0.07405900056356558,0.2737374496815026,-0.19967844911793703,0.5695265578078078,0.7213705893393393,-0.15184403153153148,0.8663448662206522,0.9274522288911102,-0.06110736267045802,0.8397487904361939,0.9009429368551103,-0.061194146418916406,0.6935998498498499,0.696509009009009,-0.002909159159159125,0.396875,0.640625,-0.24375000000000002
physchem_small,linear_svm,sensplus,AAC_reference,0.6332196969696969,0.6864141414141414,-0.05319444444444443,0.7428606845900627,0.7820617369396412,-0.03920105234957849,0.15121372286082552,0.2737374496815026,-0.12252372682067708,0.6370049737237238,0.7213705893393393,-0.08436561561561551,0.8888510339646034,0.9274522288911102,-0.03860119492650682,0.865944870631955,0.9009429368551103,-0.034998066223155266,0.65487987987988,0.696509009009009,-0.04162912912912908,0.534375,0.640625,-0.10624999999999996
terminal_grouped,linear_svm,sensplus,AAC_reference,0.5801641414141414,0.6864141414141414,-0.10624999999999996,0.7047896259627637,0.7820617369396412,-0.07727211097687747,0.014218242557626218,0.2737374496815026,-0.2595192071238764,0.5000035191441442,0.7213705893393393,-0.22136707019519508,0.8343454836842398,0.9274522288911102,-0.09310674520687046,0.8239595336487475,0.9009429368551103,-0.07698340320636277,0.6205893393393394,0.696509009009009,-0.07591966966966968,0.396875,0.640625,-0.24375000000000002
