run_id,replicate,analysis_branch,fold,feature_set,feature_count,model_key,score_type,scaler,class_weight,threshold_or_decision_rule,accuracy,f1,mcc,auroc,auprc,precision,sensitivity,specificity,precision,tp,tn,fp,fn,support,pos_n,neg_n
PILOT-R05-R01-core_only-AAC_reference-logistic_regression_l2-F1,R01,core_only,1,AAC_reference,20,logistic_regression_l2,probability,StandardScaler,balanced,0.5 for LogisticRegression probability; 0 for LinearSVC decision function,0.6666666666666666,0.7619047619047619,0.30858348347958914,0.6891891891891893,0.9182934518757451,0.9230769230769231,0.6486486486486487,0.75,0.9230769230769231,24,6,2,13,45,37,8
PILOT-R05-R01-core_only-AAC_reference-logistic_regression_l2-F2,R01,core_only,2,AAC_reference,20,logistic_regression_l2,probability,StandardScaler,balanced,0.5 for LogisticRegression probability; 0 for LinearSVC decision function,0.6744186046511628,0.7741935483870968,0.2876469861186478,0.7222222222222222,0.9375631934028349,0.9230769230769231,0.6666666666666666,0.7142857142857143,0.9230769230769231,24,5,2,12,43,36,7
PILOT-R05-R01-core_only-AAC_reference-logistic_regression_l2-F3,R01,core_only,3,AAC_reference,20,logistic_regression_l2,probability,StandardScaler,balanced,0.5 for LogisticRegression probability; 0 for LinearSVC decision function,0.6046511627906976,0.7213114754098361,0.1366001903107947,0.626984126984127,0.9019193355887895,0.88,0.6111111111111112,0.5714285714285714,0.88,22,4,3,14,43,36,7
PILOT-R05-R01-core_only-AAC_reference-logistic_regression_l2-F4,R01,core_only,4,AAC_reference,20,logistic_regression_l2,probability,StandardScaler,balanced,0.5 for LogisticRegression probability; 0 for LinearSVC decision function,0.6511627906976745,0.7692307692307693,0.09691665282503333,0.7182539682539683,0.9378104978645949,0.8620689655172413,0.6944444444444444,0.42857142857142855,0.8620689655172413,25,3,4,11,43,36,7
PILOT-R05-R02-core_only-AAC_reference-logistic_regression_l2-F1,R02,core_only,1,AAC_reference,20,logistic_regression_l2,probability,StandardScaler,balanced,0.5 for LogisticRegression probability; 0 for LinearSVC decision function,0.7045454545454546,0.8115942028985508,0.1522038868295523,0.6235521235521236,0.9078227070222975,0.875,0.7567567567567568,0.42857142857142855,0.875,28,3,4,9,44,37,7
PILOT-R05-R02-core_only-AAC_reference-logistic_regression_l2-F2,R02,core_only,2,AAC_reference,20,logistic_regression_l2,probability,StandardScaler,balanced,0.5 for LogisticRegression probability; 0 for LinearSVC decision function,0.6818181818181818,0.7666666666666667,0.39805662169354006,0.7916666666666667,0.9526220719968296,0.9583333333333334,0.6388888888888888,0.875,0.9583333333333334,23,7,1,13,44,36,8
PILOT-R05-R02-core_only-AAC_reference-logistic_regression_l2-F3,R02,core_only,3,AAC_reference,20,logistic_regression_l2,probability,StandardScaler,balanced,0.5 for LogisticRegression probability; 0 for LinearSVC decision function,0.627906976744186,0.7575757575757576,-0.015949145882311513,0.6111111111111112,0.9095155273454613,0.8333333333333334,0.6944444444444444,0.2857142857142857,0.8333333333333334,25,2,5,11,43,36,7
PILOT-R05-R02-core_only-AAC_reference-logistic_regression_l2-F4,R02,core_only,4,AAC_reference,20,logistic_regression_l2,probability,StandardScaler,balanced,0.5 for LogisticRegression probability; 0 for LinearSVC decision function,0.7674418604651163,0.8529411764705882,0.31897158992671304,0.8333333333333334,0.9684483616246219,0.90625,0.8055555555555556,0.5714285714285714,0.90625,29,4,3,7,43,36,7
PILOT-R05-R03-core_only-AAC_reference-logistic_regression_l2-F1,R03,core_only,1,AAC_reference,20,logistic_regression_l2,probability,StandardScaler,balanced,0.5 for LogisticRegression probability; 0 for LinearSVC decision function,0.75,0.835820895522388,0.3699008279808363,0.7722007722007721,0.944916633677098,0.9333333333333333,0.7567567567567568,0.7142857142857143,0.9333333333333333,28,5,2,9,44,37,7
PILOT-R05-R03-core_only-AAC_reference-logistic_regression_l2-F2,R03,core_only,2,AAC_reference,20,logistic_regression_l2,probability,StandardScaler,balanced,0.5 for LogisticRegression probability; 0 for LinearSVC decision function,0.6363636363636364,0.75,0.1336306209562122,0.65625,0.9129492778900833,0.8571428571428571,0.6666666666666666,0.5,0.8571428571428571,24,4,4,12,44,36,8
