feature_set,model_key,analysis_branch,n_replicates,accuracy_mean_across_replicates,accuracy_sd_across_replicates,f1_mean_across_replicates,f1_sd_across_replicates,mcc_mean_across_replicates,mcc_sd_across_replicates,auroc_mean_across_replicates,auroc_sd_across_replicates,auprc_mean_across_replicates,auprc_sd_across_replicates,precision_mean_across_replicates,precision_sd_across_replicates,sensitivity_mean_across_replicates,sensitivity_sd_across_replicates,specificity_mean_across_replicates,specificity_sd_across_replicates
AAC_reference,linear_svm,core_only,10,0.6982740192623913,0.03364139626664391,0.7945390163102019,0.026391145114034526,0.2793657397095362,0.06599342122034754,0.7219675032175032,0.023088514343541637,0.9325315465845225,0.007805264890649198,0.9129595619052266,0.017631365889664338,0.7089527027027027,0.036141678173633715,0.6459821428571428,0.06668426904096905
AAC_reference,linear_svm,sensplus,10,0.6864141414141414,0.031970479314118984,0.7820617369396412,0.025280072819410113,0.2737374496815026,0.06741419736171964,0.7213705893393393,0.017846749045038406,0.9274522288911102,0.007311486110230517,0.9009429368551103,0.02146736579046609,0.696509009009009,0.03564573032725009,0.640625,0.07402432501849945
AAC_reference,logistic_regression_l2,core_only,10,0.6937676180408738,0.02927159309980108,0.7909798613183995,0.022953907537536188,0.2753864932881743,0.060575681048344376,0.7260205518018018,0.02310617006186383,0.9362883448772973,0.006198366254491516,0.9133355327173929,0.01682926164042962,0.7027402402402402,0.030843254511990683,0.6504464285714285,0.0651727954605339
AAC_reference,logistic_regression_l2,sensplus,10,0.6835984848484848,0.03419510876492094,0.7792515931872485,0.02611142756038849,0.2758546488014154,0.07029406364812527,0.7249038100600601,0.017110728794155653,0.9308394817473302,0.0063991187409552204,0.9024335233790896,0.019548200042947335,0.690990990990991,0.03573162599775992,0.65,0.06555055301063448
aac_plus_physchem,linear_svm,core_only,10,0.7045480972515856,0.03321173714517026,0.8008764067586219,0.024851167514899516,0.26762068469799033,0.06568334712928832,0.7270598723723724,0.026378424658314126,0.9306993239221327,0.010295035495206899,0.9059752450063977,0.017289950299046994,0.7240615615615615,0.03515969260765152,0.6098214285714285,0.060160287599725054
aac_plus_physchem,linear_svm,sensplus,10,0.6892171717171717,0.03171983670275414,0.785505143836532,0.025289614719377292,0.2658947590656341,0.06347783474919198,0.7169388138138137,0.01405383931388131,0.9222654993149172,0.008460397560597518,0.8954357109962051,0.017443520745061347,0.7047860360360361,0.039653458067382547,0.61875,0.07034142923389222
aac_plus_physchem,logistic_regression_l2,core_only,10,0.7011654334038055,0.030666497713618464,0.7976071388058665,0.022145659759116886,0.27371279712707464,0.06453866638811585,0.7295303115615616,0.026283396830799256,0.9346626201631064,0.008185384779904282,0.9090149775426053,0.0167435006221755,0.7164977477477478,0.03018619331669097,0.628125,0.05619604050839223
aac_plus_physchem,logistic_regression_l2,sensplus,10,0.6846969696969697,0.02603935515027769,0.7810243900585617,0.020753587429434152,0.2671479885451681,0.04972896387160384,0.7219711899399399,0.014617528238802763,0.9274821847798037,0.00670104996281594,0.897257705487818,0.014614724199212505,0.6965277777777777,0.032340724166006606,0.63125,0.05667279378639768
aac_plus_terminal,linear_svm,core_only,10,0.6797871153394409,0.03688488426812503,0.7929267546062363,0.02690141409615706,0.08218349386273638,0.09785824339278218,0.6182227986915487,0.06496348929666819,0.8939740248161823,0.02175535456999089,0.8535628737972868,0.023499173205700667,0.7454767267267267,0.039736777953903006,0.35401785714285716,0.11133995796057286
aac_plus_terminal,linear_svm,sensplus,10,0.6722222222222222,0.030674167571825364,0.7827057165354954,0.02409620397355456,0.11258843680922882,0.06869248076601617,0.6264428490990991,0.0562290072184026,0.8922142216433282,0.02166757823291534,0.849674233317986,0.01841037996280674,0.7316066066066066,0.036992519000163974,0.403125,0.08261408357874313
