run_id,feature_set,model_key,split,branch,fold,train_n,train_pos,train_neg,test_n,test_pos,test_neg,tp,tn,fp,fn,accuracy,f1,mcc,auroc,auprc,specificity,sensitivity,score_type
PILOT-R06-AAC_reference-logistic_regression_l2-F1,AAC_reference,logistic_regression_l2,R02A_sequence_cluster_hard_split,core_plus_sensitivity,1,132,108,24,45,37,8,21,4,4,16,0.5555555555555556,0.6774193548387096,0.051987524491003634,0.6283783783783784,0.9127832527449222,0.5,0.5675675675675675,prob_positive
PILOT-R06-AAC_reference-logistic_regression_l2-F2,AAC_reference,logistic_regression_l2,R02A_sequence_cluster_hard_split,core_plus_sensitivity,2,133,109,24,44,36,8,18,3,5,18,0.4772727272727273,0.6101694915254238,-0.09652341781316803,0.46875,0.851970933664286,0.375,0.5,prob_positive
PILOT-R06-AAC_reference-logistic_regression_l2-F3,AAC_reference,logistic_regression_l2,R02A_sequence_cluster_hard_split,core_plus_sensitivity,3,133,109,24,44,36,8,30,3,5,6,0.75,0.8450704225352113,0.19920476822239894,0.5555555555555556,0.8654811122520599,0.375,0.8333333333333334,prob_positive
PILOT-R06-AAC_reference-logistic_regression_l2-F4,AAC_reference,logistic_regression_l2,R02A_sequence_cluster_hard_split,core_plus_sensitivity,4,133,109,24,44,36,8,22,4,4,14,0.5909090909090909,0.7096774193548387,0.0871627267280818,0.5833333333333333,0.8743237959711887,0.5,0.6111111111111112,prob_positive
PILOT-R06-AAC_reference-linear_svm-F1,AAC_reference,linear_svm,R02A_sequence_cluster_hard_split,core_plus_sensitivity,1,132,108,24,45,37,8,21,4,4,16,0.5555555555555556,0.6774193548387096,0.051987524491003634,0.6283783783783784,0.9144132157592881,0.5,0.5675675675675675,decision_function
PILOT-R06-AAC_reference-linear_svm-F2,AAC_reference,linear_svm,R02A_sequence_cluster_hard_split,core_plus_sensitivity,2,133,109,24,44,36,8,18,2,6,18,0.45454545454545453,0.6,-0.19364916731037085,0.46875,0.8544993420750475,0.25,0.5,decision_function
PILOT-R06-AAC_reference-linear_svm-F3,AAC_reference,linear_svm,R02A_sequence_cluster_hard_split,core_plus_sensitivity,3,133,109,24,44,36,8,30,2,6,6,0.7272727272727273,0.8333333333333334,0.08333333333333333,0.5173611111111112,0.847064285485775,0.25,0.8333333333333334,decision_function
PILOT-R06-AAC_reference-linear_svm-F4,AAC_reference,linear_svm,R02A_sequence_cluster_hard_split,core_plus_sensitivity,4,133,109,24,44,36,8,22,4,4,14,0.5909090909090909,0.7096774193548387,0.0871627267280818,0.5694444444444444,0.8714650675580248,0.5,0.6111111111111112,decision_function
PILOT-R06-AAC_plus_physchem-logistic_regression_l2-F1,AAC_plus_physchem,logistic_regression_l2,R02A_sequence_cluster_hard_split,core_plus_sensitivity,1,132,108,24,45,37,8,23,5,3,14,0.6222222222222222,0.7301587301587301,0.19090334147466106,0.6824324324324325,0.9148186297565546,0.625,0.6216216216216216,prob_positive
PILOT-R06-AAC_plus_physchem-logistic_regression_l2-F2,AAC_plus_physchem,logistic_regression_l2,R02A_sequence_cluster_hard_split,core_plus_sensitivity,2,133,109,24,44,36,8,19,3,5,17,0.5,0.6333333333333333,-0.07530800950958866,0.46875,0.8476235291195131,0.375,0.5277777777777778,prob_positive
PILOT-R06-AAC_plus_physchem-logistic_regression_l2-F3,AAC_plus_physchem,logistic_regression_l2,R02A_sequence_cluster_hard_split,core_plus_sensitivity,3,133,109,24,44,36,8,29,2,6,7,0.7045454545454546,0.8169014084507042,0.053121271525973054,0.4965277777777778,0.8292198253171583,0.25,0.8055555555555556,prob_positive
PILOT-R06-AAC_plus_physchem-logistic_regression_l2-F4,AAC_plus_physchem,logistic_regression_l2,R02A_sequence_cluster_hard_split,core_plus_sensitivity,4,133,109,24,44,36,8,23,2,6,13,0.5681818181818182,0.7076923076923077,-0.09040846714944138,0.5694444444444444,0.8700752941924258,0.25,0.6388888888888888,prob_positive
PILOT-R06-AAC_plus_physchem-linear_svm-F1,AAC_plus_physchem,linear_svm,R02A_sequence_cluster_hard_split,core_plus_sensitivity,1,132,108,24,45,37,8,23,5,3,14,0.6222222222222222,0.7301587301587301,0.19090334147466106,0.6925675675675675,0.9186786096459463,0.625,0.6216216216216216,decision_function
PILOT-R06-AAC_plus_physchem-linear_svm-F2,AAC_plus_physchem,linear_svm,R02A_sequence_cluster_hard_split,core_plus_sensitivity,2,133,109,24,44,36,8,19,3,5,17,0.5,0.6333333333333333,-0.07530800950958866,0.4444444444444444,0.837849585241467,0.375,0.5277777777777778,decision_function
PILOT-R06-AAC_plus_physchem-linear_svm-F3,AAC_plus_physchem,linear_svm,R02A_sequence_cluster_hard_split,core_plus_sensitivity,3,133,109,24,44,36,8,29,2,6,7,0.7045454545454546,0.8169014084507042,0.053121271525973054,0.4618055555555556,0.8087113369215749,0.25,0.8055555555555556,decision_function
PILOT-R06-AAC_plus_physchem-linear_svm-F4,AAC_plus_physchem,linear_svm,R02A_sequence_cluster_hard_split,core_plus_sensitivity,4,133,109,24,44,36,8,25,2,6,11,0.6136363636363636,0.746268656716418,-0.046964663578423126,0.5694444444444444,0.8705337477758796,0.25,0.6944444444444444,decision_function
