model,split_family,analysis_branch,metric,n_pairs,aac_mean,plm_mean,delta_mean,delta_sd,delta_bootstrap_ci_low,delta_bootstrap_ci_high,paired_test,p_value
LR_L2,random_cv_R1_R10,core_only,mcc,10,0.24575493815863808,0.30443572915372696,0.05868079099508887,0.08748561204633389,0.0059393768970335435,0.10882465531674697,paired_wilcoxon_replicate_level_two_sided,0.064453125
LR_L2,random_cv_R1_R10,core_only,specificity,10,0.6044642857142858,0.5741071428571429,-0.03035714285714288,0.08354034661450511,-0.07946428571428574,0.018303571428571398,paired_wilcoxon_replicate_level_two_sided,0.3203125
LR_L2,random_cv_R1_R10,core_only,sensitivity,10,0.7046921921921923,0.7867492492492493,0.08205705705705706,0.03362733954882989,0.06212462462462463,0.10148273273273274,paired_wilcoxon_replicate_level_two_sided,0.001953125
LR_L2,random_cv_R1_R10,core_only,auroc,10,0.720064873981124,0.7641074109824109,0.04404253700128698,0.0509625335622659,0.01263429724367222,0.0725495608108108,paired_wilcoxon_replicate_level_two_sided,0.01953125
LR_L2,random_cv_R1_R10,core_only,auprc,10,0.9331252582566865,0.9409060109220004,0.00778075266531395,0.017607572886682174,-0.002964054238490732,0.017601440496052567,paired_wilcoxon_replicate_level_two_sided,0.322265625
LR_L2,random_cv_R1_R10,core_only,f1,10,0.787317434993913,0.8394516282000121,0.05213419320609884,0.026521412306886233,0.03644011564896763,0.06752238922954865,paired_wilcoxon_replicate_level_two_sided,0.001953125
LR_L2,random_cv_R1_R10,sensplus,mcc,10,0.25301980365644666,0.2932341999384874,0.04021439628204078,0.10244934895124277,-0.020187889081014692,0.09981438199994083,paired_wilcoxon_replicate_level_two_sided,0.232421875
LR_L2,random_cv_R1_R10,sensplus,specificity,10,0.625,0.571875,-0.053125,0.11126833494355487,-0.11875,0.0125,paired_wilcoxon_replicate_level_two_sided,0.15234375
LR_L2,random_cv_R1_R10,sensplus,sensitivity,10,0.686843093093093,0.7715840840840842,0.08474099099099101,0.03383012360565781,0.06463963963963965,0.10429851726726717,paired_wilcoxon_replicate_level_two_sided,0.001953125
LR_L2,random_cv_R1_R10,sensplus,auroc,10,0.7092905405405404,0.7533150337837837,0.04402449324324326,0.045872407510877365,0.01569538288288287,0.06936714057807812,paired_wilcoxon_replicate_level_two_sided,0.02734375
LR_L2,random_cv_R1_R10,sensplus,auprc,10,0.924883394096236,0.9325335162084348,0.007650122112198609,0.016998643799909098,-0.002862338552773512,0.016995786435874738,paired_wilcoxon_replicate_level_two_sided,0.232421875
LR_L2,random_cv_R1_R10,sensplus,f1,10,0.7734613681364406,0.8261543064089635,0.052692938272522784,0.027817787161959248,0.036297258404486964,0.06907939234499968,paired_wilcoxon_replicate_level_two_sided,0.00390625
LinearSVM,random_cv_R1_R10,core_only,mcc,10,0.28546064110226643,0.2856475547961944,0.0001869136939279481,0.0958874959315325,-0.056538553934598355,0.05586402657747842,paired_wilcoxon_replicate_level_two_sided,1.0
LinearSVM,random_cv_R1_R10,core_only,specificity,10,0.6638392857142856,0.465625,-0.19821428571428573,0.0932217734023612,-0.25357142857142856,-0.14464285714285716,paired_wilcoxon_replicate_level_two_sided,0.001953125
LinearSVM,random_cv_R1_R10,core_only,sensitivity,10,0.7012575075075075,0.843993993993994,0.14273648648648649,0.030929231419808717,0.12426801801801805,0.16058558558558558,paired_wilcoxon_replicate_level_two_sided,0.001953125
LinearSVM,random_cv_R1_R10,core_only,auroc,10,0.7351183773058774,0.7466129075504075,0.011494530244530255,0.04887971645748377,-0.017821616259116248,0.03908984877734874,paired_wilcoxon_replicate_level_two_sided,0.4921875
