run_id,feature,model_id,model_family,split_family,analysis_branch,replicate_id,fold_id,threshold,train_n,test_n,train_pos,train_neg,test_pos,test_neg,mcc,auroc,auprc,f1,precision,sensitivity,specificity,tp,tn,fp,fn
PLM_ESM2_LR_L2_r02a_sequence_cluster_hard_split_sensplus_R02A_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,r02a_sequence_cluster_hard_split,sensplus,R02A,1,0.5,132,45,108,24,37,8,0.3767873050126201,0.8108108108108109,0.9523559103132984,0.8571428571428571,0.9090909090909091,0.8108108108108109,0.625,30,5,3,7
PLM_ESM2_LR_L2_r02a_sequence_cluster_hard_split_sensplus_R02A_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,r02a_sequence_cluster_hard_split,sensplus,R02A,2,0.5,133,44,109,24,36,8,-0.17611748841908673,0.47916666666666663,0.8554638037730261,0.7164179104477612,0.7741935483870968,0.6666666666666666,0.125,24,1,7,12
PLM_ESM2_LR_L2_r02a_sequence_cluster_hard_split_sensplus_R02A_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,r02a_sequence_cluster_hard_split,sensplus,R02A,3,0.5,133,44,109,24,36,8,0.053121271525973054,0.7083333333333334,0.9332774467380379,0.8169014084507042,0.8285714285714286,0.8055555555555556,0.25,29,2,6,7
PLM_ESM2_LR_L2_r02a_sequence_cluster_hard_split_sensplus_R02A_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,r02a_sequence_cluster_hard_split,sensplus,R02A,4,0.5,133,44,109,24,36,8,0.03390317518104052,0.5659722222222223,0.8790087343824866,0.7384615384615385,0.8275862068965517,0.6666666666666666,0.375,24,3,5,12
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R01_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R01,1,0.5,129,45,108,21,37,8,0.17087668565033,0.8141891891891893,0.958809373156327,0.8333333333333334,0.8571428571428571,0.8108108108108109,0.375,30,3,5,7
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R01_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R01,2,0.5,131,43,109,22,36,7,0.31897158992671304,0.8531746031746031,0.9680557574278645,0.8529411764705882,0.90625,0.8055555555555556,0.5714285714285714,29,4,3,7
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R01_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R01,3,0.5,131,43,109,22,36,7,0.2874159939455275,0.7777777777777778,0.9505411936520204,0.835820895522388,0.9032258064516129,0.7777777777777778,0.5714285714285714,28,4,3,8
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R01_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R01,4,0.5,131,43,109,22,36,7,0.2748169871336806,0.7658730158730159,0.9423087139002656,0.8732394366197183,0.8857142857142857,0.8611111111111112,0.42857142857142855,31,3,4,5
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R02_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R02,1,0.5,130,44,108,22,37,7,0.06065731251599021,0.7027027027027027,0.9359255513212716,0.8169014084507042,0.8529411764705882,0.7837837837837838,0.2857142857142857,29,2,5,8
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R02_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R02,2,0.5,130,44,109,21,36,8,0.2825264598420043,0.8159722222222223,0.9534528346960232,0.8,0.896551724137931,0.7222222222222222,0.625,26,5,3,10
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R02_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R02,3,0.5,131,43,109,22,36,7,0.25837616329344654,0.7817460317460316,0.9444051969057342,0.8181818181818182,0.9,0.75,0.5714285714285714,27,4,3,9
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R02_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R02,4,0.5,131,43,109,22,36,7,0.2874159939455275,0.75,0.9454514466554326,0.835820895522388,0.9032258064516129,0.7777777777777778,0.5714285714285714,28,4,3,8
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R03_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R03,1,0.5,130,44,108,22,37,7,0.2782706909370396,0.8687258687258688,0.9743746464999752,0.8767123287671232,0.8888888888888888,0.8648648648648649,0.42857142857142855,32,3,4,5
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R03_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R03,2,0.5,130,44,109,21,36,8,0.44739624349429946,0.7083333333333333,0.9100014383359684,0.8857142857142857,0.9117647058823529,0.8611111111111112,0.625,31,5,3,5
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R03_fold3,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R03,3,0.5,131,43,109,22,36,7,0.6519294632182419,0.8968253968253967,0.9763703283831812,0.927536231884058,0.9696969696969697,0.8888888888888888,0.8571428571428571,32,6,1,4
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R03_fold4,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R03,4,0.5,131,43,109,22,36,7,0.14697408781305385,0.7738095238095237,0.9514994211281913,0.8059701492537313,0.8709677419354839,0.75,0.42857142857142855,27,3,4,9
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R04_fold1,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R04,1,0.5,130,44,108,22,37,7,0.3572041737052757,0.7258687258687259,0.9345131271613616,0.8732394366197183,0.9117647058823529,0.8378378378378378,0.5714285714285714,31,4,3,6
PLM_ESM2_LR_L2_random_cv_R1_R10_core_only_R04_fold2,ESM2_frozen_embedding,ESM2_LR_L2,LogisticRegression,random_cv_R1_R10,core_only,R04,2,0.5,130,44,109,21,36,8,0.43704152091682436,0.8715277777777778,0.9719741987831219,0.8484848484848485,0.9333333333333333,0.7777777777777778,0.75,28,6,2,8
